Receive time,Appliance,Source address,Destination address,Source Port,Destination port,Protocol,Application,Type,Rule,Egress interface,Ingress interface,From Zone,To Zone,Source country,Destination country,User,Packets Received,Packets Sent,Received Bytes,Transmitted Bytes,Session duration,Reverse Rate (Bps),Forward Rate (Bps)
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.24,202.38.180.7,44833,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,India,unknown,0,1,0,69,0,0,0
2017-10-01T18:21:09Z,Branch01-OneEight,172.19.10.24,184.31.221.238,50565,443,tcp,apple,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,409,300,590254,18785,52173,11313.4,360.05
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,216.58.197.65,56293,443,udp,unknown_udp,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,51,40,43991,7118,20779,2117.09,342.56
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,216.58.197.65,61025,443,tcp,youtube,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,8,9,5024,867,129,38945.74,6720.93
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,216.58.197.65,61023,443,tcp,youtube,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,6,7,4867,775,115,42321.74,6739.13
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,216.58.197.65,61024,443,tcp,youtube,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,7,8,6318,827,113,55911.5,7318.58
2017-10-01T18:24:32Z,Branch01-OneEight,172.19.10.27,216.58.197.65,61022,443,tcp,youtube,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,18,17,7006,1360,240237,29.16,5.66
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,216.58.197.65,61026,443,tcp,youtube,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,8,9,5024,867,127,39559.06,6826.77
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,8.8.8.8,59204,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,United States,unknown,1,1,120,59,8,15000,7375
2017-10-01T18:20:35Z,Branch01-OneEight,172.19.10.27,202.38.180.7,59204,53,udp,dns,,R1,vni-0/1.0,vni-0/2.0,Intf-LAN-Zone,Intf-WAN1-Zone,,India,unknown,1,2,263,350,1592,165.2,219.85
2017-10-01T18:20:02Z,Branch01-OneEight,66.151.138.213,43.224.129.102,27562,32861,udp,icmp,,R1,lo12,vni-0/1.0,Intf-WAN1-Zone,none,United States,Japan,unknown,0,1,0,94,0,0,0
2017-10-01T18:29:45Z,Branch01-OneEight,104.236.185.104,43.224.128.219,47787,515,tcp,unknown_tcp,,R1,vni-0/1.0,vni-0/1.0,Intf-WAN1-Zone,Intf-WAN1-Zone,,Japan,unknown,0,125,0,5744,89,0,64539.33
